id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
849,72409,Jarod,Gogal,Mohawk,OR,US,NULL,2015
850,72423,Austin,Hoop,Newcastle,CA,US,NULL,2015
851,72478,Josh,Bergquist,Colorado Springs,CO,US,NULL,2015
852,72576,Peter,Lunde,Oslo,,NO,NULL,2015
853,72627,Lance,Hoagland,South Lake Tahoe,CA,US,NULL,2015
854,72707,Dallin,Blanchard,Idaho Falls,ID,US,NULL,2015
855,72709,Chris,Blanchard,Idaho Falls,ID,US,NULL,2015
856,72824,William,Freed,Clarkston,MI,US,NULL,2015
857,72898,Otto,Karpio,Helsinki,,FI,NULL,2015
858,72905,Pyry,Joutsen,Pietarsaari,,FI,NULL,2015
861,72939,Lauri,Hämäläinen,Hämeenlinna,,FI,NULL,2015
862,73058,Matias,Puikkonen,Palokka,,FI,NULL,2015
865,73097,Nathan,Allton,Wellington,KS,US,US,2015
866,73239,Justin,Choka,Newton,NJ,US,NULL,2015
867,73312,Mikael,Räsänen,Kuopio,,FI,NULL,2015
868,73362,Jordan,Renzelman,Lenexa,KS,US,NULL,2015
869,73363,Steven,Derochie,Sacramento,CA,US,NULL,2015
872,73695,Connor,Rock,Lakeside,AZ,US,NULL,2015
874,74005,Colin,Poe,Wapello,IA,US,NULL,2015
875,74130,Oskari,Vikström,Jyväskylä,,FI,NULL,2015
876,74221,Logan,Riding,Clovis,CA,US,NULL,2015
877,74312,Jonathan,Burns,Toano,VA,US,NULL,2015
879,74356,Cameron,Benak,Traverse City,MI,US,NULL,2015
880,74719,Chris,Pinegar,La Mirada,CA,US,PE,2015
881,74914,Benjamin,Page,New Market,AL,US,NULL,2015
882,74978,Samuel,Stenman,Pori,,FI,NULL,2015
884,75027,Raivis,Markons-Craig,Ashland,MA,US,NULL,2015
885,75200,Drew,Boggs,Decatur,TX,US,NULL,2015
886,75296,Aaron,Swander,Marion,IA,US,NULL,2015
888,75420,Thomas,Malone,Lockport,IL,US,NULL,2015
889,75469,Cedar,Morgan,Soquel,CA,US,NULL,2015
890,75608,Sebastian,Pauli,Kirke Såby,,DK,NULL,2015
891,75745,Alex,Tews,Ogden,UT,US,NULL,2015
892,75759,Saku,Poikonen,Hämeenlinna,,FI,NULL,2015
893,75763,Aaro,Koskela,Tampere,,FI,NULL,2015
894,75861,Charlie,Veysey,Gilmanton,NH,US,NULL,2015
895,76153,Danny,Beauchamp,Naperville,IL,US,NULL,2015
898,76386,James,Bergman,New Smyrna Beach,FL,US,NULL,2015
899,76396,Jake,Spencer,Fridley,MN,US,NULL,2015
900,76456,Daniel,Davidsson,Tampere,,FI,NULL,2015
902,76466,Ross,Marshall,Asheville,NC,US,NULL,2015
903,76574,Michael,Mayo,Conway,AR,US,NULL,2015
905,76810,Dallas,Hansen,Layton,UT,US,US,2015
907,77173,Olav,André Brekke,Skien,,NO,NULL,2015
908,77181,Austin,Housewright,Knoxville,TN,US,NULL,2015
909,77246,Tristan,Lucerne,Denver,CO,US,NULL,2015
910,77277,Noah,Osborne,Jonesborough,TN,US,NULL,2015
911,77462,Otto,Lehtonen,Vaajakoski,,FI,NULL,2015
912,77543,Billy,Armstrong,Des Moines,IA,US,NULL,2015
913,77562,Michael,Jordt,New Bern,NC,US,NULL,2015
914,77736,James,King,Oxford,NE,US,NULL,2015
915,77759,Daniel,Konečný,Moravský Krumlov,,CZ,CZ,2015
916,77869,Robert,Centala,Wyoming,MI,US,NULL,2015
917,77936,Kennan,Johnson,,,US,US,2015
918,77939,Isaiah,Esquivel,Emporia,KS,US,NULL,2015
919,77952,Jordan,Smith,Alexandria,LA,US,NULL,2015
920,78239,Andrew,Cornwell,Pittsboro,IN,US,NULL,2015
921,78519,Sam,Lee,Mount Sterling,KY,US,NULL,2015
922,78583,Josh,Sparlin,Clovis,CA,US,NULL,2015
923,78697,Chris,Nelson,Beaverton,OR,US,NULL,2015
924,78711,Ismo,Sutela,Helsinki,,FI,NULL,2015
926,78848,Jacob,Sanders,Austin,TX,US,NULL,2015
927,78893,Fredrik,Runsjø,Hagan,,NO,NULL,2015
928,79047,Silas,Schultz,Baton Rouge,LA,US,NULL,2015
929,79063,Brett,Mierzejewski Stetson,Long Beach,CA,US,US,2015
930,79228,Daniel,Brooks-Wells,Ephrata,PA,US,NULL,2015
931,79253,Ryland,Plummer,Stockton,CA,US,NULL,2015
932,79476,James,Kulinski,Manville,NJ,US,NULL,2015
933,79604,Zack,Gray,Las Vegas,NV,US,NULL,2015
934,79641,Joshua,Winn,Fort Worth,TX,US,NULL,2015
935,79724,Nicholas,Brown,Hampshire,IL,US,NULL,2015
936,79753,Mason,Marchbanks,Waxahachie,TX,US,NULL,2015
937,79833,Sean,McCoy,Quincy,MI,US,NULL,2015
938,79859,Morten,Brenna,Kristiansand,,NO,NO,2015
939,79887,Jooa,Saari,Mikkeli,,FI,NULL,2015
940,79978,Jacob,McDaniel,Salt Lake City,UT,US,NULL,2015
941,80089,Drew,Cantrell,Columbia,MO,US,NULL,2015
942,80134,Bohdan,Bílek,Nový Jičín,,CZ,CZ,2015
943,80208,Sean,Gilbert,Boulder,CO,US,NULL,2016
944,80219,Dan,Schlitter,Palatine,IL,US,NULL,2016
946,80331,Gavin,Babcock,Altoona,IA,US,US,2016
948,80454,Jere,Kukkurainen,Pohjankuru,,FI,NULL,2016
949,80497,Kalle,Lehtinen,Tampere,,FI,NULL,2016
950,80636,Alexander,Lyon,Orangevale,CA,US,NULL,2016
953,80860,Antti,Mertanen,Vantaa,,FI,NULL,2016
954,80904,Thomas,Tomaselli,Aptos,CA,US,NULL,2016
955,81039,Vincent,Polidori,Menomonee Fls,WI,US,NULL,2016
956,81174,Carson,Reber,Rochester,NY,US,NULL,2016
959,81285,Ethan,Enos,Sacramento,CA,US,US,2016
